Process name: screen_8
Created at: Sun Aug  3 01:53:32 2025

At time : Sun Aug  3 01:53:32 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:33 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:33 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:33 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:33 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:33 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:33 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:33 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:33 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:33 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:33 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:33 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:34 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:34 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:34 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:34 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:34 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:34 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:34 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:34 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:34 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:34 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:35 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:35 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:35 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:35 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:35 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:35 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:35 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:35 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:35 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:35 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:35 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:36 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:36 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:36 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:36 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:36 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:36 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:36 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:36 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:36 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:36 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:37 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:37 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:37 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:37 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:37 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:37 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:37 2025 using core 0 : 29 23
At time : Sun Aug  3 01:53:37 2025 using core 0 : 29 23
