Process name: screen_0
Created at: Sat Aug  2 23:55:53 2025

At time : Sat Aug  2 23:55:53 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:55:53 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:55:53 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:55:53 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:55:53 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:55:53 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:55:53 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:55:53 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:55:53 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:55:53 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:55:55 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:55:55 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:55:55 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:55:55 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:55:55 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:55:55 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:55:55 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:55:55 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:55:55 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:55:55 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:55:56 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:55:56 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:55:56 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:55:56 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:55:56 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:55:56 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:55:56 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:55:57 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:55:57 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:55:57 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:55:58 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:55:58 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:55:58 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:55:58 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:55:58 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:55:58 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:55:58 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:55:58 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:55:58 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:55:58 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:56:00 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:56:00 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:56:00 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:56:00 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:56:00 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:56:00 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:56:00 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:56:00 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:56:00 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:56:00 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:56:01 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:56:01 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:56:01 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:56:01 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:56:01 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:56:01 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:56:01 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:56:01 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:56:01 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:56:01 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:56:03 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:56:03 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:56:03 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:56:03 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:56:03 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:56:03 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:56:03 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:56:03 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:56:03 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:56:03 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:56:05 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:56:05 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:56:05 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:56:05 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:56:05 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:56:05 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:56:05 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:56:05 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:56:05 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:56:05 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:56:06 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:56:06 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:56:06 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:56:06 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:56:06 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:56:06 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:56:06 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:56:06 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:56:06 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:56:06 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:56:08 2025 using core 0 : SRTF then RR at Time Slice 0
At time : Sat Aug  2 23:56:08 2025 using core 0 : SRTF then RR at Time Slice 0
