Process name: screen_9
Created at: Sat Aug  2 23:55:53 2025
At time : Sat Aug  2 23:56:05 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:05 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:05 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:05 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:05 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:05 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:06 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:07 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:07 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:07 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:07 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:07 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:07 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:07 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:07 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:07 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:07 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:08 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:08 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:08 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:08 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:09 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:09 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:09 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:09 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:09 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:09 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:10 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:10 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:10 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:10 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:10 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:10 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:10 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:10 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:10 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:10 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:12 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:12 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:12 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:12 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:12 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:12 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:12 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:12 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:12 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:12 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:13 2025 using core 1 : SRTF then RR at Time Slice 9
At time : Sat Aug  2 23:56:13 2025 using core 1 : SRTF then RR at Time Slice 9
