Process name: screen_11
Created at: Sat Aug  2 23:55:53 2025
At time : Sat Aug  2 23:56:06 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:06 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:06 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:07 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:07 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:07 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:07 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:07 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:07 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:07 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:07 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:07 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:07 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:09 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:09 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:09 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:09 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:09 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:09 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:09 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:09 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:09 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:09 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:10 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:10 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:10 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:10 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:10 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:10 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:10 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:10 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:10 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:10 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:12 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:12 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:12 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:12 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:12 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:12 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:12 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:12 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:12 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:12 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:13 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:13 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:13 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:14 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:14 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:14 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:14 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:14 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:14 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:14 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:15 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:15 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:15 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:15 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:15 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:15 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:15 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:15 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:15 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:15 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:17 2025 using core 2 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:17 2025 using core 2 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:17 2025 using core 2 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:17 2025 using core 2 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:17 2025 using core 2 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:17 2025 using core 2 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:17 2025 using core 2 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:17 2025 using core 2 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:17 2025 using core 2 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:17 2025 using core 2 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:18 2025 using core 1 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:18 2025 using core 1 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:18 2025 using core 1 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:18 2025 using core 1 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:18 2025 using core 1 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:18 2025 using core 1 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:18 2025 using core 1 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:18 2025 using core 1 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:18 2025 using core 1 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:18 2025 using core 1 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:20 2025 using core 0 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:20 2025 using core 0 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:20 2025 using core 0 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:20 2025 using core 0 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:20 2025 using core 0 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:20 2025 using core 0 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:20 2025 using core 0 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:20 2025 using core 0 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:20 2025 using core 0 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:20 2025 using core 0 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:21 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:21 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:21 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:21 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:21 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:21 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:21 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:21 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:21 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:22 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:23 2025 using core 2 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:23 2025 using core 2 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:23 2025 using core 2 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:23 2025 using core 2 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:23 2025 using core 2 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:23 2025 using core 2 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:23 2025 using core 2 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:23 2025 using core 2 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:23 2025 using core 2 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:23 2025 using core 2 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:24 2025 using core 1 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:24 2025 using core 1 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:24 2025 using core 1 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:24 2025 using core 1 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:24 2025 using core 1 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:24 2025 using core 1 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:24 2025 using core 1 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:24 2025 using core 1 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:25 2025 using core 1 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:25 2025 using core 1 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:26 2025 using core 0 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:26 2025 using core 0 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:26 2025 using core 0 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:26 2025 using core 0 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:26 2025 using core 0 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:26 2025 using core 0 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:26 2025 using core 0 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:26 2025 using core 0 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:26 2025 using core 0 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:26 2025 using core 0 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:27 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:27 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:27 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:27 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:27 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:27 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:28 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:28 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:28 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:28 2025 using core 3 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:29 2025 using core 2 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:29 2025 using core 2 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:29 2025 using core 2 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:29 2025 using core 2 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:29 2025 using core 2 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:29 2025 using core 2 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:29 2025 using core 2 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:29 2025 using core 2 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:29 2025 using core 2 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:29 2025 using core 2 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:30 2025 using core 1 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:30 2025 using core 1 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:30 2025 using core 1 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:30 2025 using core 1 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:31 2025 using core 1 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:31 2025 using core 1 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:31 2025 using core 1 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:31 2025 using core 1 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:31 2025 using core 1 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:31 2025 using core 1 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:32 2025 using core 0 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:32 2025 using core 0 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:32 2025 using core 0 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:32 2025 using core 0 : SRTF then RR at Time Slice 11
At time : Sat Aug  2 23:56:32 2025 using core 0 : SRTF then RR at Time Slice 11
