Process name: screen_4
Created at: Sat Aug  2 23:55:53 2025

At time : Sat Aug  2 23:55:53 2025 using core 0 : SRTF then RR at Time Slice 4
At time : Sat Aug  2 23:55:53 2025 using core 0 : SRTF then RR at Time Slice 4
At time : Sat Aug  2 23:55:53 2025 using core 0 : SRTF then RR at Time Slice 4
At time : Sat Aug  2 23:55:53 2025 using core 0 : SRTF then RR at Time Slice 4
At time : Sat Aug  2 23:55:53 2025 using core 0 : SRTF then RR at Time Slice 4
At time : Sat Aug  2 23:55:53 2025 using core 0 : SRTF then RR at Time Slice 4
At time : Sat Aug  2 23:55:54 2025 using core 0 : SRTF then RR at Time Slice 4
At time : Sat Aug  2 23:55:54 2025 using core 0 : SRTF then RR at Time Slice 4
At time : Sat Aug  2 23:55:54 2025 using core 0 : SRTF then RR at Time Slice 4
At time : Sat Aug  2 23:55:54 2025 using core 0 : SRTF then RR at Time Slice 4
At time : Sat Aug  2 23:55:55 2025 using core 0 : SRTF then RR at Time Slice 4
At time : Sat Aug  2 23:55:55 2025 using core 0 : SRTF then RR at Time Slice 4
At time : Sat Aug  2 23:55:55 2025 using core 0 : SRTF then RR at Time Slice 4
At time : Sat Aug  2 23:55:55 2025 using core 0 : SRTF then RR at Time Slice 4
At time : Sat Aug  2 23:55:55 2025 using core 0 : SRTF then RR at Time Slice 4
At time : Sat Aug  2 23:55:55 2025 using core 0 : SRTF then RR at Time Slice 4
At time : Sat Aug  2 23:55:55 2025 using core 0 : SRTF then RR at Time Slice 4
At time : Sat Aug  2 23:55:55 2025 using core 0 : SRTF then RR at Time Slice 4
At time : Sat Aug  2 23:55:55 2025 using core 0 : SRTF then RR at Time Slice 4
At time : Sat Aug  2 23:55:55 2025 using core 0 : SRTF then RR at Time Slice 4
At time : Sat Aug  2 23:55:57 2025 using core 0 : SRTF then RR at Time Slice 4
At time : Sat Aug  2 23:55:57 2025 using core 0 : SRTF then RR at Time Slice 4
At time : Sat Aug  2 23:55:57 2025 using core 0 : SRTF then RR at Time Slice 4
At time : Sat Aug  2 23:55:57 2025 using core 0 : SRTF then RR at Time Slice 4
At time : Sat Aug  2 23:55:57 2025 using core 0 : SRTF then RR at Time Slice 4
At time : Sat Aug  2 23:55:57 2025 using core 0 : SRTF then RR at Time Slice 4
